Number,Name,DMX-red,DMX-green,DMX-blue
53,Pale Lavender,202,198,255
353,Lilly Lavender,123,104,255
54,Special Lavender,184,166,255
55,Lilac,132,126,255
355,Pale Violet,87,78,255
56,Gypsy Lavender,51,15,255
356,Middle Lavender,140,103,255
57,Lavender,123,86,255
357,Royal Lavender,59,17,255
58,Deep Lavender,84,39,255
358,Rose Indigo,77,9,255
59,Indigo,42,1,255
359,Medium Violet,41,18,255
60,No Color Blue,153,176,255
360,Clearwater,163,183,255
61,Mist Blue,170,192,255
361,Hemsley Blue,51,66,255
62,Booster Blue,125,163,255
362,Tipton Blue,114,139,255
63,Pale Blue,143,169,255
363,Aquamarine,130,179,255
64,Light Steel Blue,65,85,255
364,Blue Bell,86,111,255
65,Daylight Blue,55,103,255
365,Tharon Delft Blue,106,129,255
66,Cool Blue,149,195,255
366,Jordan Blue,59,107,255
67,Light Sky Blue,48,74,255
367,Slate Blue,56,80,255
68,Parry Sky Blue,29,37,255
368,Winkler Blue,45,58,255
69,Brilliant Blue,23,62,255
369,Tahitian Blue,36,86,255
70,Nile Blue,84,138,255
370,Italian Blue,31,134,255
71,Sea Blue,49,104,255
72,Azure Blue,59,120,255
73,Peacock Blue,56,133,255
74,Night Blue,16,9,255
374,Sea Green,46,146,255
75,Twilight Blue,20,67,255
375,Cerulean Blue,32,122,255
76,Light Green Blue,16,55,255
376,Bermuda Blue,49,112,255
77,Green Blue,20,53,255
377,Iris Purple,40,18,255
78,Trudy Blue,65,66,255
378,Alice Blue,62,60,255
79,Bright Blue,24,20,255
80,Primary Blue,20,31,255
81,Urban Blue,36,39,255
381,Baldassari Blue,31,24,255
82,Surprise Blue,38,26,255
382,Congo Blue,32,0,255
83,Medium Blue,19,15,255
383,Sapphire Blue,25,8,255
84,Zephyr Blue,39,42,255
384,Midnight Blue,20,2,255
85,Deep Blue,22,9,255
385,Royal Blue,25,0,255
86,Pea Green,138,255,78
386,Leaf Green,126,255,104
87,Pale Yellow Green,228,255,194
88,Light Green,208,255,150
388,Gaslight Green,194,255,136
89,Moss Green,96,255,116
389,Chroma Green,69,255,147
91,Primary Green,60,255,164
392,Pacific Green,47,156,255
92,Turquoise,120,255,254
93,Blue Green,92,211,255
393,Emerald Green,24,173,255
395,Teal Green,23,171,255
96,Lime,238,255,126
397,Pale Grey,255,254,246
398,Neutral Grey,241,248,255
99,Chocolate,255,196,141
200,Double CTB,49,62,255
201,Full CTB,100,123,255
281,3/4 CTB,119,137,255
202,1/2 CTB,155,178,255
203,1/4 CTB,195,211,255
218,1/8 CTB,224,234,255
287,Double CTO,255,147,23
204,Full CTO,255,191,77
285,3/4 CTO,255,204,97
205,1/2 CTO,255,223,139
206,1/4 CTO,255,238,183
